fetched_at,place_name,AREA_NM,AREA_CD,_key_used,LIVE_DST_MESSAGE__DST_SE_NM,LIVE_DST_MESSAGE__EMRG_STEP_NM,LIVE_DST_MESSAGE__MSG_CN,LIVE_DST_MESSAGE__CRT_DT
2026-05-28T14:36:08.770896+09:00,서울 암사동 유적,서울 암사동 유적,POI011,KEY_4,화재,안전안내,오늘 12:44 성내동 455-14 건물에서 화재 발생. 검은 연기 다량 분출 중이니 창문을 닫고 안전에 유의하시기 바랍니다. [강동구],2026-05-28 13:15:19
2026-05-28T14:36:08.770896+09:00,강남 MICE 관광특구,강남 MICE 관광특구,POI001,KEY_2,기타,안전안내,"스페이스 챌린지 행사(5.30. 공군 주최) 관련 비행(훈련)으로 오늘 14:30~16:00경 강남구, 송파구 일대 비행소음이 발생될 수 있습니다.[서울특별시]",2026-05-28 14:01:00
2026-05-28T14:36:08.770896+09:00,잠실 관광특구,잠실 관광특구,POI005,KEY_2,기타,안전안내,"스페이스 챌린지 행사(5.30. 공군 주최) 관련 비행(훈련)으로 오늘 14:30~16:00경 강남구, 송파구 일대 비행소음이 발생될 수 있습니다.[서울특별시]",2026-05-28 14:01:00
2026-05-28T14:36:08.770896+09:00,광나루한강공원,광나루한강공원,POI087,KEY_3,화재,안전안내,오늘 12:44 성내동 455-14 건물에서 화재 발생. 검은 연기 다량 분출 중이니 창문을 닫고 안전에 유의하시기 바랍니다. [강동구],2026-05-28 13:15:19
2026-05-28T14:36:08.770896+09:00,올림픽공원,올림픽공원,POI127,KEY_1,기타,안전안내,"스페이스 챌린지 행사(5.30. 공군 주최) 관련 비행(훈련)으로 오늘 14:30~16:00경 강남구, 송파구 일대 비행소음이 발생될 수 있습니다.[서울특별시]",2026-05-28 14:01:00
2026-05-28T14:36:08.770896+09:00,잠실종합운동장,잠실종합운동장,POI109,KEY_1,기타,안전안내,"스페이스 챌린지 행사(5.30. 공군 주최) 관련 비행(훈련)으로 오늘 14:30~16:00경 강남구, 송파구 일대 비행소음이 발생될 수 있습니다.[서울특별시]",2026-05-28 14:01:00
2026-05-28T14:36:08.770896+09:00,잠실한강공원,잠실한강공원,POI110,KEY_2,기타,안전안내,"스페이스 챌린지 행사(5.30. 공군 주최) 관련 비행(훈련)으로 오늘 14:30~16:00경 강남구, 송파구 일대 비행소음이 발생될 수 있습니다.[서울특별시]",2026-05-28 14:01:00
2026-05-28T14:36:08.770896+09:00,가락시장,가락시장,POI058,KEY_2,기타,안전안내,"스페이스 챌린지 행사(5.30. 공군 주최) 관련 비행(훈련)으로 오늘 14:30~16:00경 강남구, 송파구 일대 비행소음이 발생될 수 있습니다.[서울특별시]",2026-05-28 14:01:00
2026-05-28T14:36:08.770896+09:00,가로수길,가로수길,POI059,KEY_3,기타,안전안내,"스페이스 챌린지 행사(5.30. 공군 주최) 관련 비행(훈련)으로 오늘 14:30~16:00경 강남구, 송파구 일대 비행소음이 발생될 수 있습니다.[서울특별시]",2026-05-28 14:01:00
2026-05-28T14:36:08.770896+09:00,송리단길·호수단길,송리단길·호수단길,POI121,KEY_1,기타,안전안내,"스페이스 챌린지 행사(5.30. 공군 주최) 관련 비행(훈련)으로 오늘 14:30~16:00경 강남구, 송파구 일대 비행소음이 발생될 수 있습니다.[서울특별시]",2026-05-28 14:01:00
2026-05-28T14:36:08.770896+09:00,압구정로데오거리,압구정로데오거리,POI071,KEY_3,기타,안전안내,"스페이스 챌린지 행사(5.30. 공군 주최) 관련 비행(훈련)으로 오늘 14:30~16:00경 강남구, 송파구 일대 비행소음이 발생될 수 있습니다.[서울특별시]",2026-05-28 14:01:00
2026-05-28T14:36:08.770896+09:00,청담동 명품거리,청담동 명품거리,POI080,KEY_1,기타,안전안내,"스페이스 챌린지 행사(5.30. 공군 주최) 관련 비행(훈련)으로 오늘 14:30~16:00경 강남구, 송파구 일대 비행소음이 발생될 수 있습니다.[서울특별시]",2026-05-28 14:01:00
2026-05-28T14:36:08.770896+09:00,강남역,강남역,POI014,KEY_3,기타,안전안내,"스페이스 챌린지 행사(5.30. 공군 주최) 관련 비행(훈련)으로 오늘 14:30~16:00경 강남구, 송파구 일대 비행소음이 발생될 수 있습니다.[서울특별시]",2026-05-28 14:01:00
2026-05-28T14:36:08.770896+09:00,고덕역,고덕역,POI016,KEY_1,화재,안전안내,오늘 12:44 성내동 455-14 건물에서 화재 발생. 검은 연기 다량 분출 중이니 창문을 닫고 안전에 유의하시기 바랍니다. [강동구],2026-05-28 13:15:19
2026-05-28T14:36:08.770896+09:00,선릉역,선릉역,POI034,KEY_1,기타,안전안내,"스페이스 챌린지 행사(5.30. 공군 주최) 관련 비행(훈련)으로 오늘 14:30~16:00경 강남구, 송파구 일대 비행소음이 발생될 수 있습니다.[서울특별시]",2026-05-28 14:01:00
2026-05-28T14:36:08.770896+09:00,신논현역·논현역,신논현역·논현역,POI037,KEY_2,기타,안전안내,"스페이스 챌린지 행사(5.30. 공군 주최) 관련 비행(훈련)으로 오늘 14:30~16:00경 강남구, 송파구 일대 비행소음이 발생될 수 있습니다.[서울특별시]",2026-05-28 14:01:00
2026-05-28T14:36:08.770896+09:00,역삼역,역삼역,POI042,KEY_1,기타,안전안내,"스페이스 챌린지 행사(5.30. 공군 주최) 관련 비행(훈련)으로 오늘 14:30~16:00경 강남구, 송파구 일대 비행소음이 발생될 수 있습니다.[서울특별시]",2026-05-28 14:01:00
2026-05-28T14:36:08.770896+09:00,잠실새내역,잠실새내역,POI118,KEY_3,기타,안전안내,"스페이스 챌린지 행사(5.30. 공군 주최) 관련 비행(훈련)으로 오늘 14:30~16:00경 강남구, 송파구 일대 비행소음이 발생될 수 있습니다.[서울특별시]",2026-05-28 14:01:00
2026-05-28T14:36:08.770896+09:00,잠실역,잠실역,POI119,KEY_4,기타,안전안내,"스페이스 챌린지 행사(5.30. 공군 주최) 관련 비행(훈련)으로 오늘 14:30~16:00경 강남구, 송파구 일대 비행소음이 발생될 수 있습니다.[서울특별시]",2026-05-28 14:01:00
2026-05-28T14:36:08.770896+09:00,장지역,장지역,POI048,KEY_1,기타,안전안내,"스페이스 챌린지 행사(5.30. 공군 주최) 관련 비행(훈련)으로 오늘 14:30~16:00경 강남구, 송파구 일대 비행소음이 발생될 수 있습니다.[서울특별시]",2026-05-28 14:01:00
2026-05-28T14:36:08.770896+09:00,천호역,천호역,POI050,KEY_3,화재,안전안내,오늘 12:44 성내동 455-14 건물에서 화재 발생. 검은 연기 다량 분출 중이니 창문을 닫고 안전에 유의하시기 바랍니다. [강동구],2026-05-28 13:15:19
2026-05-28T16:39:54.394117+09:00,서울 암사동 유적,서울 암사동 유적,POI011,KEY_4,화재,안전안내,오늘 12:44 성내동 455-14 건물에서 화재 발생. 검은 연기 다량 분출 중이니 창문을 닫고 안전에 유의하시기 바랍니다. [강동구],2026-05-28 13:15:19
2026-05-28T16:39:54.394117+09:00,강남 MICE 관광특구,강남 MICE 관광특구,POI001,KEY_2,기타,안전안내,"스페이스 챌린지 행사(5.30. 공군 주최) 관련 비행(훈련)으로 오늘 14:30~16:00경 강남구, 송파구 일대 비행소음이 발생될 수 있습니다.[서울특별시]",2026-05-28 14:01:00
2026-05-28T16:39:54.394117+09:00,잠실 관광특구,잠실 관광특구,POI005,KEY_2,기타,안전안내,"스페이스 챌린지 행사(5.30. 공군 주최) 관련 비행(훈련)으로 오늘 14:30~16:00경 강남구, 송파구 일대 비행소음이 발생될 수 있습니다.[서울특별시]",2026-05-28 14:01:00
2026-05-28T16:39:54.394117+09:00,광나루한강공원,광나루한강공원,POI087,KEY_3,화재,안전안내,오늘 12:44 성내동 455-14 건물에서 화재 발생. 검은 연기 다량 분출 중이니 창문을 닫고 안전에 유의하시기 바랍니다. [강동구],2026-05-28 13:15:19
2026-05-28T16:39:54.394117+09:00,올림픽공원,올림픽공원,POI127,KEY_1,기타,안전안내,"스페이스 챌린지 행사(5.30. 공군 주최) 관련 비행(훈련)으로 오늘 14:30~16:00경 강남구, 송파구 일대 비행소음이 발생될 수 있습니다.[서울특별시]",2026-05-28 14:01:00
2026-05-28T16:39:54.394117+09:00,잠실종합운동장,잠실종합운동장,POI109,KEY_1,기타,안전안내,"스페이스 챌린지 행사(5.30. 공군 주최) 관련 비행(훈련)으로 오늘 14:30~16:00경 강남구, 송파구 일대 비행소음이 발생될 수 있습니다.[서울특별시]",2026-05-28 14:01:00
2026-05-28T16:39:54.394117+09:00,잠실한강공원,잠실한강공원,POI110,KEY_2,기타,안전안내,"스페이스 챌린지 행사(5.30. 공군 주최) 관련 비행(훈련)으로 오늘 14:30~16:00경 강남구, 송파구 일대 비행소음이 발생될 수 있습니다.[서울특별시]",2026-05-28 14:01:00
