fetched_at,place_name,AREA_NM,AREA_CD,_key_used,EVENT_NM,EVENT_PERIOD,EVENT_PLACE,EVENT_X,EVENT_Y,PAY_YN,THUMBNAIL,URL,EVENT_ETC_DETAIL
2026-05-10T23:42:58.218574+09:00,광화문·덕수궁,광화문·덕수궁,POI009,KEY_1,빛과 어둠의 경계에서,2026-05-02~2026-05-25,세종문화회관 세종S씨어터,126.9760053,37.5726241,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=0eeea492c11e4eb7816334e58cfeb6ce&thumb=Y,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=157335&menuNo=200008,
2026-05-10T23:42:58.218574+09:00,광화문·덕수궁,광화문·덕수궁,POI009,KEY_1,[서울도서관] 2026년 서울야외도서관 (책읽는 서울광장， 광화문 책마당， 책읽는 맑은 냇가),2026-04-23~2026-11-01,서울광장， 광화문 광장， 청계천 일대,126.97769782752,37.5653338689441,N,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=57da07b01aed40ad984d40559a42ae61&thumb=Y,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=156879&menuNo=200010,
2026-05-10T23:42:58.218574+09:00,광화문·덕수궁,광화문·덕수궁,POI009,KEY_1,2026 의정부지 역사유적광장 전통무예행사,2026-04-11~2026-10-31,의정부지 역사유적광장,126.977967142855,37.5748036513699,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=628a9bae996a407bbfee67752dd508db&thumb=Y,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=157327&menuNo=200010,
2026-05-10T23:42:58.218574+09:00,광화문·덕수궁,광화문·덕수궁,POI009,KEY_1,2026 아뜰리에 광화 봄 전시 [피어나는 빛],2026-04-11~2026-06-19,세종문화회관 외벽 미디어파사드,126.9760053,37.5726241,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=196d7f704d5646a2bb4bb40523a8c4aa&thumb=Y,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=157432&menuNo=200009,
2026-05-10T23:42:58.218574+09:00,광화문·덕수궁,광화문·덕수궁,POI009,KEY_1,2026 해치마당 미디어월 봄 전시,2026-04-10~2026-06-19,광화문 역 9번출구 진입로 벽면 해치마당 미디어월,126.976787992565,37.5716228232824,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ac862f94f21744ec8092ccc4372c0539&thumb=Y,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=157787&menuNo=200009,
2026-05-10T23:42:58.218574+09:00,광화문·덕수궁,광화문·덕수궁,POI009,KEY_1,[경복궁] 2026 생과방(상반기),2026-04-08~2026-05-27,경복궁 생과방,126.976842133821,37.5759040910202,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=4864144c5a084ea4a1228924afe585e6&thumb=Y,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=157368&menuNo=200011,
2026-05-10T23:42:58.218574+09:00,광화문·덕수궁,광화문·덕수궁,POI009,KEY_1,[덕수궁] 2026 밤의 석조전(상반기),2026-04-08~2026-05-17,덕수궁 석조전 일원,126.974461639777,37.5677154464989,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=cc6179c75f1547b2b72e2a3cca26b6da&thumb=Y,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=157365&menuNo=200010,
2026-05-10T23:42:58.218574+09:00,광화문·덕수궁,광화문·덕수궁,POI009,KEY_1,2026년 집옥재(팔우정 포함) 작은 도서관 개방,2026-04-01~2026-10-31,경복궁 집옥재·팔우정,126.976842133821,37.5759040910202,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=d70525e916b548cda13443c9e10190f3&thumb=Y,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=157383&menuNo=200011,
2026-05-10T23:42:58.218574+09:00,광화문·덕수궁,광화문·덕수궁,POI009,KEY_1,2026년 경복궁 [경회루·향원정] 특별관람,2026-04-01~2026-10-30,경복궁 경회루·향원정,126.976842133821,37.5759040910202,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=37630da9c19349fbac8494e92e5c64d8&thumb=Y,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=157389&menuNo=200011,
2026-05-10T23:42:58.218574+09:00,광화문·덕수궁,광화문·덕수궁,POI009,KEY_1,기.기.기(奇.己.氣): 동시대와 시행착오,2026-04-01~2026-05-31,일민미술관,126.977657083792,37.5698677620456,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=6e05d79e4d0e4358b3eae2df5081eb13&thumb=Y,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=157256&menuNo=200009,
