fetched_at,place_name,AREA_NM,AREA_CD,_key_used,SBIKE_SPOT_NM,SBIKE_SPOT_ID,SBIKE_SHARED,SBIKE_PARKING_CNT,SBIKE_RACK_CNT,SBIKE_X,SBIKE_Y
2026-06-08T00:39:04.095627+09:00,광화문·덕수궁,광화문·덕수궁,POI009,KEY_2,391. 시립미술관,ST-977,13,1,8,126.97340393,37.56505203
2026-06-08T00:39:04.095627+09:00,광화문·덕수궁,광화문·덕수궁,POI009,KEY_2,310. 청계광장 옆,ST-126,25,2,8,126.9774704,37.56887817
2026-06-08T00:39:04.095627+09:00,광화문·덕수궁,광화문·덕수궁,POI009,KEY_2,303. 광화문역 1번출구 앞,ST-119,13,1,8,126.97466278,37.57176971
2026-06-08T00:39:04.095627+09:00,광화문·덕수궁,광화문·덕수궁,POI009,KEY_2,458. 광화문역 5번출구,ST-1611,14,3,21,126.97756958,37.56989288
2026-06-08T00:39:04.095627+09:00,광화문·덕수궁,광화문·덕수궁,POI009,KEY_2,305. 종로구청 옆,ST-121,13,2,16,126.97833252,37.57255936
2026-06-08T00:39:04.095627+09:00,광화문·덕수궁,광화문·덕수궁,POI009,KEY_2,309. 광화문역 6번출구 옆 B,ST-125,0,0,13,126.97615814,37.56996155
2026-06-08T00:39:04.095627+09:00,광화문·덕수궁,광화문·덕수궁,POI009,KEY_2,4719. 종로문화원 건너편,ST-3090,0,0,15,126.9805069,37.57571411
2026-06-08T00:39:04.095627+09:00,광화문·덕수궁,광화문·덕수궁,POI009,KEY_2,4718. 광화문역 6번출구 옆 A,ST-3075,0,0,10,126.9764328,37.56993103
2026-06-08T00:39:04.095627+09:00,광화문·덕수궁,광화문·덕수궁,POI009,KEY_2,6058. 시청역 2번출구,ST-3297,13,2,15,126.97702026,37.56557846
2026-06-08T00:39:04.095627+09:00,광화문·덕수궁,광화문·덕수궁,POI009,KEY_2,4796. 서울시청,ST-2693,5,1,20,126.97925568,37.5664711
2026-06-08T00:39:04.095627+09:00,보신각,보신각,POI010,KEY_3,316. 종각역 1번출구 앞,ST-132,13,1,8,126.98178864,37.57039642
2026-06-08T00:39:04.095627+09:00,보신각,보신각,POI010,KEY_3,385. 종각역 5번출구,ST-336,0,0,10,126.98265839,37.56983566
2026-06-08T00:39:04.095627+09:00,보신각,보신각,POI010,KEY_3,3408.종로타워빌딩,ST-1805,23,3,13,126.98323822,37.57070541
2026-06-08T00:39:04.095627+09:00,보신각,보신각,POI010,KEY_3,4708. 조계사앞사거리,ST-2472,0,0,6,126.98283386,37.5721817
2026-06-08T00:39:04.095627+09:00,서울 암사동 유적,서울 암사동 유적,POI011,KEY_4,1007.암사동 선사유적지,ST-491,29,4,14,127.13087463,37.55955887
