fetched_at,place_name,AREA_NM,AREA_CD,_key_used,CHARGER_STTS__STAT_NM,CHARGER_STTS__STAT_ID,CHARGER_STTS__STAT_ADDR,CHARGER_STTS__STAT_X,CHARGER_STTS__STAT_Y,CHARGER_STTS__STAT_USETIME,CHARGER_STTS__STAT_PARKPAY,CHARGER_STTS__STAT_LIMITYN,CHARGER_STTS__STAT_LIMITDETAIL,CHARGER_STTS__STAT_KINDDETAIL
2026-07-12T00:07:43.487838+09:00,경복궁,경복궁,POI008,KEY_1,경복궁주차장,CV002874,서울특별시 종로구 사직로 161,126.97872741,37.577568439,06:00 ~ 23:00,N,N,,관광지
2026-07-12T00:07:43.487838+09:00,보라매공원,보라매공원,POI123,KEY_4,보라매공영주차장 (급),EC110104,서울특별시 동작구 보라매로5길 44,126.9228301,37.4916394,24시간 이용가능,Y,N,,공영주차장
2026-07-12T00:07:43.487838+09:00,서리풀공원·몽마르뜨공원,서리풀공원·몽마르뜨공원,POI098,KEY_3,방배숲도서관,CV002716,서울특별시 서초구 서초대로 160-7,127.00012,37.488999,개방시간 09:00~18:00/휴관일 비개방,N,N,,도서관
2026-07-12T00:07:43.487838+09:00,아차산,아차산,POI102,KEY_3,서울시 광진구 긴고랑길공영P,PI204054,서울특별시 광진구 긴고랑로45길 7,127.09479206,37.560532191,24시간 이용가능,N,Y,거주자전용,공영주차장
2026-07-12T00:07:43.487838+09:00,잠실종합운동장,잠실종합운동장,POI109,KEY_1,서울시 잠실실내체육관,PI000664,서울특별시 송파구 올림픽로 25,127.0759402,37.5161998,24시간 이용가능,Y,N,,지자체시설
2026-07-12T00:07:43.487838+09:00,연남동,연남동,POI073,KEY_1,대명 아파트,KP001858,서울특별시 마포구 연남동 동교로39길 11,126.9236649983,37.5616892027,,Y,Y,입주자외 출입제한 (긴급상황 이용가능),아파트
2026-07-12T00:07:43.487838+09:00,이태원 앤틱가구거리,이태원 앤틱가구거리,POI077,KEY_4,서울시 이태원1동 주민센터,PI000340,서울특별시 용산구 보광로 104-6,126.9950671533,37.5325069957,평일09:00~18:00,,N,,Unknown
2026-07-12T00:07:43.487838+09:00,동대문역,동대문역,POI024,KEY_4,서울시 종로구 서울디자인지원센터,PI204016,서울특별시 종로구 율곡로 283,127.00851284,37.572857179,24시간 이용가능,N,N,,지자체시설
2026-07-12T00:07:43.487838+09:00,이태원역,이태원역,POI047,KEY_2,서울시 용산구 해밀톤관광호텔,PI200745,서울특별시 용산구 이태원로 179,126.99350846,37.534799967,24시간 이용가능,Y,N,,숙박시설
2026-07-12T00:07:43.487838+09:00,총신대입구(이수)역,총신대입구(이수)역,POI051,KEY_4,동작이수자이아파트,LU100716,서울특별시 동작구 사당로 300,126.980308,37.48443595,24시간 이용가능,Y,Y,시설 상황에 따라 이용이 제한될 수 있음.,아파트
