fetched_at,place_name,AREA_NM,AREA_CD,_key_used,SBIKE_STTS__SBIKE_SPOT_NM,SBIKE_STTS__SBIKE_SPOT_ID,SBIKE_STTS__SBIKE_SHARED,SBIKE_STTS__SBIKE_PARKING_CNT,SBIKE_STTS__SBIKE_RACK_CNT,SBIKE_STTS__SBIKE_X,SBIKE_STTS__SBIKE_Y
2026-08-16T01:37:14.520470+09:00,청담동 명품거리,청담동 명품거리,POI080,KEY_1,2310. 청담동 맥도날드 옆(위치),ST-794,80,8,10,127.04017639,37.52361298
2026-08-16T01:37:14.520470+09:00,해방촌·경리단길,해방촌·경리단길,POI082,KEY_3,810. 이태원지하보도,ST-331,40,4,10,126.98664856,37.53841019
2026-08-16T01:37:14.520470+09:00,고속터미널역,고속터미널역,POI017,KEY_2,4316. 고속터미널역 3번출구,ST-2667,56,14,25,127.0059433,37.50365829
2026-08-16T01:37:14.520470+09:00,뚝섬역,뚝섬역,POI025,KEY_1,3548.뚝섬역 6번출구,ST-2330,10,1,10,127.04766846,37.54695892
2026-08-16T01:37:14.520470+09:00,신도림역,신도림역,POI038,KEY_3,1906. 신도림역 1번 출구 앞,ST-664,0,0,20,126.89009857,37.50971985
2026-08-16T01:37:14.520470+09:00,이태원역,이태원역,POI047,KEY_2,4634. 이태원역 3번 출구,ST-3056,120,6,5,126.99497223,37.5343895
2026-08-16T02:31:17.649936+09:00,고척돔,고척돔,POI086,KEY_2,1928. 고척스카이돔구장 광장,ST-675,150,15,10,126.86825562,37.49938202
2026-08-16T02:31:17.649936+09:00,뚝섬한강공원,뚝섬한강공원,POI093,KEY_1,5153.한강버스 뚝섬 선착장,ST-3390,63,19,30,127.06626129,37.52961349
2026-08-16T02:31:17.649936+09:00,안양천,안양천,POI125,KEY_4,780.신정교 하부,ST-2006,67,10,15,126.8776474,37.5173378
2026-08-16T02:31:17.649936+09:00,잠실한강공원,잠실한강공원,POI110,KEY_2,5784.한강버스 잠실 선착장,ST-3391,43,13,30,127.08446503,37.5177536
2026-08-16T02:31:17.649936+09:00,잠원한강공원,잠원한강공원,POI111,KEY_3,4940.한강버스 압구정 선착장,ST-3389,30,9,30,127.01720428,37.52643204
2026-08-16T02:31:17.649936+09:00,청담동 명품거리,청담동 명품거리,POI080,KEY_1,2310. 청담동 맥도날드 옆(위치),ST-794,90,9,10,127.04017639,37.52361298
2026-08-16T02:31:17.649936+09:00,해방촌·경리단길,해방촌·경리단길,POI082,KEY_3,810. 이태원지하보도,ST-331,30,3,10,126.98664856,37.53841019
2026-08-16T02:31:17.649936+09:00,고속터미널역,고속터미널역,POI017,KEY_2,4316. 고속터미널역 3번출구,ST-2667,60,15,25,127.0059433,37.50365829
2026-08-16T02:31:17.649936+09:00,뚝섬역,뚝섬역,POI025,KEY_1,3548.뚝섬역 6번출구,ST-2330,10,1,10,127.04766846,37.54695892
2026-08-16T02:31:17.649936+09:00,신도림역,신도림역,POI038,KEY_3,1906. 신도림역 1번 출구 앞,ST-664,10,2,20,126.89009857,37.50971985
2026-08-16T02:31:17.649936+09:00,이태원역,이태원역,POI047,KEY_2,4634. 이태원역 3번 출구,ST-3056,80,4,5,126.99497223,37.5343895
2026-08-16T03:43:09.436288+09:00,고척돔,고척돔,POI086,KEY_2,1928. 고척스카이돔구장 광장,ST-675,150,15,10,126.86825562,37.49938202
2026-08-16T03:43:09.436288+09:00,뚝섬한강공원,뚝섬한강공원,POI093,KEY_1,5153.한강버스 뚝섬 선착장,ST-3390,60,18,30,127.06626129,37.52961349
2026-08-16T03:43:09.436288+09:00,안양천,안양천,POI125,KEY_4,780.신정교 하부,ST-2006,67,10,15,126.8776474,37.5173378
2026-08-16T03:43:09.436288+09:00,잠실한강공원,잠실한강공원,POI110,KEY_2,5784.한강버스 잠실 선착장,ST-3391,47,14,30,127.08446503,37.5177536
2026-08-16T03:43:09.436288+09:00,잠원한강공원,잠원한강공원,POI111,KEY_3,4940.한강버스 압구정 선착장,ST-3389,30,9,30,127.01720428,37.52643204
2026-08-16T03:43:09.436288+09:00,청담동 명품거리,청담동 명품거리,POI080,KEY_1,2310. 청담동 맥도날드 옆(위치),ST-794,80,8,10,127.04017639,37.52361298
2026-08-16T03:43:09.436288+09:00,해방촌·경리단길,해방촌·경리단길,POI082,KEY_3,810. 이태원지하보도,ST-331,20,2,10,126.98664856,37.53841019
2026-08-16T03:43:09.436288+09:00,고속터미널역,고속터미널역,POI017,KEY_2,4316. 고속터미널역 3번출구,ST-2667,60,15,25,127.0059433,37.50365829
2026-08-16T03:43:09.436288+09:00,뚝섬역,뚝섬역,POI025,KEY_1,3548.뚝섬역 6번출구,ST-2330,0,0,10,127.04766846,37.54695892
2026-08-16T03:43:09.436288+09:00,신도림역,신도림역,POI038,KEY_3,1906. 신도림역 1번 출구 앞,ST-664,10,2,20,126.89009857,37.50971985
2026-08-16T03:43:09.436288+09:00,이태원역,이태원역,POI047,KEY_2,4634. 이태원역 3번 출구,ST-3056,80,4,5,126.99497223,37.5343895
2026-08-16T04:30:24.755201+09:00,고척돔,고척돔,POI086,KEY_2,1928. 고척스카이돔구장 광장,ST-675,140,14,10,126.86825562,37.49938202
2026-08-16T04:30:24.755201+09:00,뚝섬한강공원,뚝섬한강공원,POI093,KEY_1,5153.한강버스 뚝섬 선착장,ST-3390,60,18,30,127.06626129,37.52961349
2026-08-16T04:30:24.755201+09:00,안양천,안양천,POI125,KEY_4,780.신정교 하부,ST-2006,67,10,15,126.8776474,37.5173378
2026-08-16T04:30:24.755201+09:00,잠실한강공원,잠실한강공원,POI110,KEY_2,5784.한강버스 잠실 선착장,ST-3391,47,14,30,127.08446503,37.5177536
2026-08-16T04:30:24.755201+09:00,잠원한강공원,잠원한강공원,POI111,KEY_3,4940.한강버스 압구정 선착장,ST-3389,30,9,30,127.01720428,37.52643204
2026-08-16T04:30:24.755201+09:00,청담동 명품거리,청담동 명품거리,POI080,KEY_1,2310. 청담동 맥도날드 옆(위치),ST-794,80,8,10,127.04017639,37.52361298
2026-08-16T04:30:24.755201+09:00,해방촌·경리단길,해방촌·경리단길,POI082,KEY_3,810. 이태원지하보도,ST-331,20,2,10,126.98664856,37.53841019
2026-08-16T04:30:24.755201+09:00,고속터미널역,고속터미널역,POI017,KEY_2,4316. 고속터미널역 3번출구,ST-2667,60,15,25,127.0059433,37.50365829
2026-08-16T04:30:24.755201+09:00,뚝섬역,뚝섬역,POI025,KEY_1,3548.뚝섬역 6번출구,ST-2330,0,0,10,127.04766846,37.54695892
2026-08-16T04:30:24.755201+09:00,신도림역,신도림역,POI038,KEY_3,1906. 신도림역 1번 출구 앞,ST-664,10,2,20,126.89009857,37.50971985
2026-08-16T04:30:24.755201+09:00,이태원역,이태원역,POI047,KEY_2,4634. 이태원역 3번 출구,ST-3056,40,2,5,126.99497223,37.5343895
2026-08-16T05:34:47.737086+09:00,고척돔,고척돔,POI086,KEY_2,1928. 고척스카이돔구장 광장,ST-675,130,13,10,126.86825562,37.49938202
2026-08-16T05:34:47.737086+09:00,뚝섬한강공원,뚝섬한강공원,POI093,KEY_1,5153.한강버스 뚝섬 선착장,ST-3390,60,18,30,127.06626129,37.52961349
2026-08-16T05:34:47.737086+09:00,안양천,안양천,POI125,KEY_4,780.신정교 하부,ST-2006,60,9,15,126.8776474,37.5173378
2026-08-16T05:34:47.737086+09:00,잠실한강공원,잠실한강공원,POI110,KEY_2,5784.한강버스 잠실 선착장,ST-3391,47,14,30,127.08446503,37.5177536
2026-08-16T05:34:47.737086+09:00,잠원한강공원,잠원한강공원,POI111,KEY_3,4940.한강버스 압구정 선착장,ST-3389,30,9,30,127.01720428,37.52643204
2026-08-16T05:34:47.737086+09:00,청담동 명품거리,청담동 명품거리,POI080,KEY_1,2310. 청담동 맥도날드 옆(위치),ST-794,80,8,10,127.04017639,37.52361298
2026-08-16T05:34:47.737086+09:00,해방촌·경리단길,해방촌·경리단길,POI082,KEY_3,810. 이태원지하보도,ST-331,40,4,10,126.98664856,37.53841019
2026-08-16T05:34:47.737086+09:00,고속터미널역,고속터미널역,POI017,KEY_2,4316. 고속터미널역 3번출구,ST-2667,60,15,25,127.0059433,37.50365829
2026-08-16T05:34:47.737086+09:00,뚝섬역,뚝섬역,POI025,KEY_1,3548.뚝섬역 6번출구,ST-2330,0,0,10,127.04766846,37.54695892
2026-08-16T05:34:47.737086+09:00,신도림역,신도림역,POI038,KEY_3,1906. 신도림역 1번 출구 앞,ST-664,10,2,20,126.89009857,37.50971985
2026-08-16T05:34:47.737086+09:00,이태원역,이태원역,POI047,KEY_2,4634. 이태원역 3번 출구,ST-3056,60,3,5,126.99497223,37.5343895
2026-08-16T06:31:35.601180+09:00,고척돔,고척돔,POI086,KEY_2,1928. 고척스카이돔구장 광장,ST-675,130,13,10,126.86825562,37.49938202
2026-08-16T06:31:35.601180+09:00,뚝섬한강공원,뚝섬한강공원,POI093,KEY_1,5153.한강버스 뚝섬 선착장,ST-3390,60,18,30,127.06626129,37.52961349
2026-08-16T06:31:35.601180+09:00,안양천,안양천,POI125,KEY_4,780.신정교 하부,ST-2006,53,8,15,126.8776474,37.5173378
2026-08-16T06:31:35.601180+09:00,잠실한강공원,잠실한강공원,POI110,KEY_2,5784.한강버스 잠실 선착장,ST-3391,50,15,30,127.08446503,37.5177536
2026-08-16T06:31:35.601180+09:00,잠원한강공원,잠원한강공원,POI111,KEY_3,4940.한강버스 압구정 선착장,ST-3389,37,11,30,127.01720428,37.52643204
2026-08-16T06:31:35.601180+09:00,청담동 명품거리,청담동 명품거리,POI080,KEY_1,2310. 청담동 맥도날드 옆(위치),ST-794,80,8,10,127.04017639,37.52361298
2026-08-16T06:31:35.601180+09:00,해방촌·경리단길,해방촌·경리단길,POI082,KEY_3,810. 이태원지하보도,ST-331,40,4,10,126.98664856,37.53841019
2026-08-16T06:31:35.601180+09:00,고속터미널역,고속터미널역,POI017,KEY_2,4316. 고속터미널역 3번출구,ST-2667,60,15,25,127.0059433,37.50365829
2026-08-16T06:31:35.601180+09:00,뚝섬역,뚝섬역,POI025,KEY_1,3548.뚝섬역 6번출구,ST-2330,0,0,10,127.04766846,37.54695892
2026-08-16T06:31:35.601180+09:00,신도림역,신도림역,POI038,KEY_3,1906. 신도림역 1번 출구 앞,ST-664,15,3,20,126.89009857,37.50971985
2026-08-16T06:31:35.601180+09:00,이태원역,이태원역,POI047,KEY_2,4634. 이태원역 3번 출구,ST-3056,40,2,5,126.99497223,37.5343895
2026-08-16T07:34:22.249543+09:00,고척돔,고척돔,POI086,KEY_2,1928. 고척스카이돔구장 광장,ST-675,140,14,10,126.86825562,37.49938202
2026-08-16T07:34:22.249543+09:00,뚝섬한강공원,뚝섬한강공원,POI093,KEY_1,5153.한강버스 뚝섬 선착장,ST-3390,60,18,30,127.06626129,37.52961349
2026-08-16T07:34:22.249543+09:00,안양천,안양천,POI125,KEY_4,780.신정교 하부,ST-2006,67,10,15,126.8776474,37.5173378
2026-08-16T07:34:22.249543+09:00,잠실한강공원,잠실한강공원,POI110,KEY_2,5784.한강버스 잠실 선착장,ST-3391,47,14,30,127.08446503,37.5177536
2026-08-16T07:34:22.249543+09:00,잠원한강공원,잠원한강공원,POI111,KEY_3,4940.한강버스 압구정 선착장,ST-3389,37,11,30,127.01720428,37.52643204
2026-08-16T07:34:22.249543+09:00,청담동 명품거리,청담동 명품거리,POI080,KEY_1,2310. 청담동 맥도날드 옆(위치),ST-794,80,8,10,127.04017639,37.52361298
2026-08-16T07:34:22.249543+09:00,해방촌·경리단길,해방촌·경리단길,POI082,KEY_3,810. 이태원지하보도,ST-331,40,4,10,126.98664856,37.53841019
2026-08-16T07:34:22.249543+09:00,고속터미널역,고속터미널역,POI017,KEY_2,4316. 고속터미널역 3번출구,ST-2667,60,15,25,127.0059433,37.50365829
2026-08-16T07:34:22.249543+09:00,뚝섬역,뚝섬역,POI025,KEY_1,3548.뚝섬역 6번출구,ST-2330,0,0,10,127.04766846,37.54695892
2026-08-16T07:34:22.249543+09:00,신도림역,신도림역,POI038,KEY_3,1906. 신도림역 1번 출구 앞,ST-664,5,1,20,126.89009857,37.50971985
2026-08-16T07:34:22.249543+09:00,이태원역,이태원역,POI047,KEY_2,4634. 이태원역 3번 출구,ST-3056,40,2,5,126.99497223,37.5343895
2026-08-16T08:30:32.816467+09:00,고척돔,고척돔,POI086,KEY_2,1928. 고척스카이돔구장 광장,ST-675,140,14,10,126.86825562,37.49938202
2026-08-16T08:30:32.816467+09:00,뚝섬한강공원,뚝섬한강공원,POI093,KEY_1,5153.한강버스 뚝섬 선착장,ST-3390,60,18,30,127.06626129,37.52961349
2026-08-16T08:30:32.816467+09:00,안양천,안양천,POI125,KEY_4,780.신정교 하부,ST-2006,67,10,15,126.8776474,37.5173378
2026-08-16T08:30:32.816467+09:00,잠실한강공원,잠실한강공원,POI110,KEY_2,5784.한강버스 잠실 선착장,ST-3391,43,13,30,127.08446503,37.5177536
2026-08-16T08:30:32.816467+09:00,잠원한강공원,잠원한강공원,POI111,KEY_3,4940.한강버스 압구정 선착장,ST-3389,37,11,30,127.01720428,37.52643204
2026-08-16T08:30:32.816467+09:00,청담동 명품거리,청담동 명품거리,POI080,KEY_1,2310. 청담동 맥도날드 옆(위치),ST-794,80,8,10,127.04017639,37.52361298
2026-08-16T08:30:32.816467+09:00,해방촌·경리단길,해방촌·경리단길,POI082,KEY_3,810. 이태원지하보도,ST-331,40,4,10,126.98664856,37.53841019
2026-08-16T08:30:32.816467+09:00,고속터미널역,고속터미널역,POI017,KEY_2,4316. 고속터미널역 3번출구,ST-2667,60,15,25,127.0059433,37.50365829
2026-08-16T08:30:32.816467+09:00,뚝섬역,뚝섬역,POI025,KEY_1,3548.뚝섬역 6번출구,ST-2330,0,0,10,127.04766846,37.54695892
2026-08-16T08:30:32.816467+09:00,신도림역,신도림역,POI038,KEY_3,1906. 신도림역 1번 출구 앞,ST-664,30,6,20,126.89009857,37.50971985
2026-08-16T08:30:32.816467+09:00,이태원역,이태원역,POI047,KEY_2,4634. 이태원역 3번 출구,ST-3056,40,2,5,126.99497223,37.5343895
2026-08-16T10:54:25.723670+09:00,고척돔,고척돔,POI086,KEY_2,1928. 고척스카이돔구장 광장,ST-675,160,16,10,126.86825562,37.49938202
2026-08-16T10:54:25.723670+09:00,뚝섬한강공원,뚝섬한강공원,POI093,KEY_1,5153.한강버스 뚝섬 선착장,ST-3390,233,70,30,127.06626129,37.52961349
2026-08-16T10:54:25.723670+09:00,안양천,안양천,POI125,KEY_4,780.신정교 하부,ST-2006,60,9,15,126.8776474,37.5173378
2026-08-16T10:54:25.723670+09:00,잠실한강공원,잠실한강공원,POI110,KEY_2,5784.한강버스 잠실 선착장,ST-3391,50,15,30,127.08446503,37.5177536
2026-08-16T10:54:25.723670+09:00,잠원한강공원,잠원한강공원,POI111,KEY_3,4940.한강버스 압구정 선착장,ST-3389,37,11,30,127.01720428,37.52643204
2026-08-16T10:54:25.723670+09:00,청담동 명품거리,청담동 명품거리,POI080,KEY_1,2310. 청담동 맥도날드 옆(위치),ST-794,70,7,10,127.04017639,37.52361298
2026-08-16T10:54:25.723670+09:00,해방촌·경리단길,해방촌·경리단길,POI082,KEY_3,810. 이태원지하보도,ST-331,40,4,10,126.98664856,37.53841019
2026-08-16T10:54:25.723670+09:00,고속터미널역,고속터미널역,POI017,KEY_2,4316. 고속터미널역 3번출구,ST-2667,60,15,25,127.0059433,37.50365829
2026-08-16T10:54:25.723670+09:00,뚝섬역,뚝섬역,POI025,KEY_1,3548.뚝섬역 6번출구,ST-2330,200,20,10,127.04766846,37.54695892
2026-08-16T10:54:25.723670+09:00,신도림역,신도림역,POI038,KEY_3,1906. 신도림역 1번 출구 앞,ST-664,50,10,20,126.89009857,37.50971985
2026-08-16T10:54:25.723670+09:00,이태원역,이태원역,POI047,KEY_2,4634. 이태원역 3번 출구,ST-3056,40,2,5,126.99497223,37.5343895
2026-08-16T12:10:31.189142+09:00,고척돔,고척돔,POI086,KEY_2,1928. 고척스카이돔구장 광장,ST-675,150,15,10,126.86825562,37.49938202
2026-08-16T12:10:31.189142+09:00,뚝섬한강공원,뚝섬한강공원,POI093,KEY_1,5153.한강버스 뚝섬 선착장,ST-3390,240,72,30,127.06626129,37.52961349
2026-08-16T12:10:31.189142+09:00,안양천,안양천,POI125,KEY_4,780.신정교 하부,ST-2006,67,10,15,126.8776474,37.5173378
2026-08-16T12:10:31.189142+09:00,잠실한강공원,잠실한강공원,POI110,KEY_2,5784.한강버스 잠실 선착장,ST-3391,37,11,30,127.08446503,37.5177536
2026-08-16T12:10:31.189142+09:00,잠원한강공원,잠원한강공원,POI111,KEY_3,4940.한강버스 압구정 선착장,ST-3389,27,8,30,127.01720428,37.52643204
2026-08-16T12:10:31.189142+09:00,청담동 명품거리,청담동 명품거리,POI080,KEY_1,2310. 청담동 맥도날드 옆(위치),ST-794,70,7,10,127.04017639,37.52361298
2026-08-16T12:10:31.189142+09:00,해방촌·경리단길,해방촌·경리단길,POI082,KEY_3,810. 이태원지하보도,ST-331,30,3,10,126.98664856,37.53841019
2026-08-16T12:10:31.189142+09:00,고속터미널역,고속터미널역,POI017,KEY_2,4316. 고속터미널역 3번출구,ST-2667,48,12,25,127.0059433,37.50365829
2026-08-16T12:10:31.189142+09:00,뚝섬역,뚝섬역,POI025,KEY_1,3548.뚝섬역 6번출구,ST-2330,200,20,10,127.04766846,37.54695892
2026-08-16T12:10:31.189142+09:00,신도림역,신도림역,POI038,KEY_3,1906. 신도림역 1번 출구 앞,ST-664,50,10,20,126.89009857,37.50971985
2026-08-16T12:10:31.189142+09:00,이태원역,이태원역,POI047,KEY_2,4634. 이태원역 3번 출구,ST-3056,20,1,5,126.99497223,37.5343895
2026-08-16T13:46:21.153350+09:00,고척돔,고척돔,POI086,KEY_2,1928. 고척스카이돔구장 광장,ST-675,160,16,10,126.86825562,37.49938202
2026-08-16T13:46:21.153350+09:00,뚝섬한강공원,뚝섬한강공원,POI093,KEY_1,5153.한강버스 뚝섬 선착장,ST-3390,217,65,30,127.06626129,37.52961349
2026-08-16T13:46:21.153350+09:00,안양천,안양천,POI125,KEY_4,780.신정교 하부,ST-2006,33,5,15,126.8776474,37.5173378
2026-08-16T13:46:21.153350+09:00,잠실한강공원,잠실한강공원,POI110,KEY_2,5784.한강버스 잠실 선착장,ST-3391,30,9,30,127.08446503,37.5177536
2026-08-16T13:46:21.153350+09:00,잠원한강공원,잠원한강공원,POI111,KEY_3,4940.한강버스 압구정 선착장,ST-3389,30,9,30,127.01720428,37.52643204
2026-08-16T13:46:21.153350+09:00,청담동 명품거리,청담동 명품거리,POI080,KEY_1,2310. 청담동 맥도날드 옆(위치),ST-794,70,7,10,127.04017639,37.52361298
2026-08-16T13:46:21.153350+09:00,해방촌·경리단길,해방촌·경리단길,POI082,KEY_3,810. 이태원지하보도,ST-331,30,3,10,126.98664856,37.53841019
2026-08-16T13:46:21.153350+09:00,고속터미널역,고속터미널역,POI017,KEY_2,4316. 고속터미널역 3번출구,ST-2667,44,11,25,127.0059433,37.50365829
2026-08-16T13:46:21.153350+09:00,뚝섬역,뚝섬역,POI025,KEY_1,3548.뚝섬역 6번출구,ST-2330,190,19,10,127.04766846,37.54695892
2026-08-16T13:46:21.153350+09:00,신도림역,신도림역,POI038,KEY_3,1906. 신도림역 1번 출구 앞,ST-664,55,11,20,126.89009857,37.50971985
2026-08-16T13:46:21.153350+09:00,이태원역,이태원역,POI047,KEY_2,4634. 이태원역 3번 출구,ST-3056,20,1,5,126.99497223,37.5343895
2026-08-16T14:38:27.835026+09:00,고척돔,고척돔,POI086,KEY_2,1928. 고척스카이돔구장 광장,ST-675,90,9,10,126.86825562,37.49938202
2026-08-16T14:38:27.835026+09:00,뚝섬한강공원,뚝섬한강공원,POI093,KEY_1,5153.한강버스 뚝섬 선착장,ST-3390,213,64,30,127.06626129,37.52961349
2026-08-16T14:38:27.835026+09:00,안양천,안양천,POI125,KEY_4,780.신정교 하부,ST-2006,20,3,15,126.8776474,37.5173378
2026-08-16T14:38:27.835026+09:00,잠실한강공원,잠실한강공원,POI110,KEY_2,5784.한강버스 잠실 선착장,ST-3391,40,12,30,127.08446503,37.5177536
2026-08-16T14:38:27.835026+09:00,잠원한강공원,잠원한강공원,POI111,KEY_3,4940.한강버스 압구정 선착장,ST-3389,17,5,30,127.01720428,37.52643204
2026-08-16T14:38:27.835026+09:00,청담동 명품거리,청담동 명품거리,POI080,KEY_1,2310. 청담동 맥도날드 옆(위치),ST-794,80,8,10,127.04017639,37.52361298
2026-08-16T14:38:27.835026+09:00,해방촌·경리단길,해방촌·경리단길,POI082,KEY_3,810. 이태원지하보도,ST-331,20,2,10,126.98664856,37.53841019
2026-08-16T14:38:27.835026+09:00,고속터미널역,고속터미널역,POI017,KEY_2,4316. 고속터미널역 3번출구,ST-2667,44,11,25,127.0059433,37.50365829
2026-08-16T14:38:27.835026+09:00,뚝섬역,뚝섬역,POI025,KEY_1,3548.뚝섬역 6번출구,ST-2330,190,19,10,127.04766846,37.54695892
2026-08-16T14:38:27.835026+09:00,신도림역,신도림역,POI038,KEY_3,1906. 신도림역 1번 출구 앞,ST-664,65,13,20,126.89009857,37.50971985
2026-08-16T14:38:27.835026+09:00,이태원역,이태원역,POI047,KEY_2,4634. 이태원역 3번 출구,ST-3056,20,1,5,126.99497223,37.5343895
