fetched_at,place_name,AREA_NM,AREA_CD,_key_used,PRK_STTS__PRK_NM,PRK_STTS__PRK_CD,PRK_STTS__PRK_TYPE,PRK_STTS__CPCTY,PRK_STTS__CUR_PRK_CNT,PRK_STTS__CUR_PRK_TIME,PRK_STTS__CUR_PRK_YN,PRK_STTS__PAY_YN,PRK_STTS__RATES,PRK_STTS__TIME_RATES,PRK_STTS__ADD_RATES,PRK_STTS__ADD_TIME_RATES,PRK_STTS__ADDRESS,PRK_STTS__ROAD_ADDR,PRK_STTS__LNG,PRK_STTS__LAT
2026-05-30T04:05:30.177343+09:00,보라매공원,보라매공원,POI123,KEY_4,보라매공원 정문주차장,3246367,BS,78,,,N,Y,130,5,130,5,동작구 신대방동 722-0,,126.9188806,37.494927
2026-05-30T04:05:30.177343+09:00,안양천,안양천,POI125,KEY_4,신정교주차장(구),1588371,NW,294,,,N,N,0,0,0,0,양천구 신정동 871-3,,126.8779641,37.5171996
2026-05-30T04:05:30.177343+09:00,잠실종합운동장,잠실종합운동장,POI109,KEY_1,잠실종합운동장 부설주차장,672169,BP,876,,,N,Y,0,15,200,5,송파구 잠실동 10-0,,127.07361195,37.51645099
2026-05-30T04:05:30.177343+09:00,신도림역,신도림역,POI038,KEY_3,신도림 디큐브시티,3121188,BS,1644,,,N,Y,1000,30,1000,10,구로구 신도림동 692-0,,126.888938,37.508607
2026-05-30T04:57:17.848514+09:00,서울 암사동 유적,서울 암사동 유적,POI011,KEY_4,서울암사동유적 주차장(구),3246676,NW,108,,,N,Y,1000,540,1000,540,강동구 암사동 139-2,,127.1303425,37.5591723
2026-05-30T04:57:17.848514+09:00,노들섬,노들섬,POI092,KEY_4,노들섬 주차장,3204515,BS,99,,,N,Y,1000,30,300,10,용산구 이촌동 302-146,,126.957417,37.517689
2026-05-30T04:57:17.848514+09:00,보라매공원,보라매공원,POI123,KEY_4,보라매공원 정문주차장,3246367,BS,78,,,N,Y,130,5,130,5,동작구 신대방동 722-0,,126.9188806,37.494927
2026-05-30T04:57:17.848514+09:00,안양천,안양천,POI125,KEY_4,신정교주차장(구),1588371,NW,294,,,N,N,0,0,0,0,양천구 신정동 871-3,,126.8779641,37.5171996
2026-05-30T04:57:17.848514+09:00,잠실종합운동장,잠실종합운동장,POI109,KEY_1,잠실종합운동장 부설주차장,672169,BP,876,,,N,Y,0,15,200,5,송파구 잠실동 10-0,,127.07361195,37.51645099
2026-05-30T04:57:17.848514+09:00,신도림역,신도림역,POI038,KEY_3,신도림 디큐브시티,3121188,BS,1644,,,N,Y,1000,30,1000,10,구로구 신도림동 692-0,,126.888938,37.508607
2026-05-30T05:58:41.206882+09:00,서울 암사동 유적,서울 암사동 유적,POI011,KEY_4,서울암사동유적 주차장(구),3246676,NW,108,,,N,Y,1000,540,1000,540,강동구 암사동 139-2,,127.1303425,37.5591723
2026-05-30T05:58:41.206882+09:00,노들섬,노들섬,POI092,KEY_4,노들섬 주차장,3204515,BS,99,,,N,Y,1000,30,300,10,용산구 이촌동 302-146,,126.957417,37.517689
2026-05-30T05:58:41.206882+09:00,보라매공원,보라매공원,POI123,KEY_4,보라매공원 정문주차장,3246367,BS,78,,,N,Y,130,5,130,5,동작구 신대방동 722-0,,126.9188806,37.494927
2026-05-30T05:58:41.206882+09:00,안양천,안양천,POI125,KEY_4,신정교주차장(구),1588371,NW,294,,,N,N,0,0,0,0,양천구 신정동 871-3,,126.8779641,37.5171996
2026-05-30T05:58:41.206882+09:00,잠실종합운동장,잠실종합운동장,POI109,KEY_1,잠실종합운동장 부설주차장,672169,BP,876,,,N,Y,0,15,200,5,송파구 잠실동 10-0,,127.07361195,37.51645099
2026-05-30T05:58:41.206882+09:00,신도림역,신도림역,POI038,KEY_3,신도림 디큐브시티,3121188,BS,1644,,,N,Y,1000,30,1000,10,구로구 신도림동 692-0,,126.888938,37.508607
2026-05-30T06:43:15.773778+09:00,서울 암사동 유적,서울 암사동 유적,POI011,KEY_4,서울암사동유적 주차장(구),3246676,NW,108,,,N,Y,1000,540,1000,540,강동구 암사동 139-2,,127.1303425,37.5591723
2026-05-30T06:43:15.773778+09:00,노들섬,노들섬,POI092,KEY_4,노들섬 주차장,3204515,BS,99,,,N,Y,1000,30,300,10,용산구 이촌동 302-146,,126.957417,37.517689
2026-05-30T06:43:15.773778+09:00,보라매공원,보라매공원,POI123,KEY_4,보라매공원 정문주차장,3246367,BS,78,,,N,Y,130,5,130,5,동작구 신대방동 722-0,,126.9188806,37.494927
2026-05-30T06:43:15.773778+09:00,안양천,안양천,POI125,KEY_4,신정교주차장(구),1588371,NW,294,,,N,N,0,0,0,0,양천구 신정동 871-3,,126.8779641,37.5171996
2026-05-30T06:43:15.773778+09:00,잠실종합운동장,잠실종합운동장,POI109,KEY_1,잠실종합운동장 부설주차장,672169,BP,876,,,N,Y,0,15,200,5,송파구 잠실동 10-0,,127.07361195,37.51645099
2026-05-30T06:43:15.773778+09:00,신도림역,신도림역,POI038,KEY_3,신도림 디큐브시티,3121188,BS,1644,,,N,Y,1000,30,1000,10,구로구 신도림동 692-0,,126.888938,37.508607
2026-05-30T07:40:05.556680+09:00,서울 암사동 유적,서울 암사동 유적,POI011,KEY_4,서울암사동유적 주차장(구),3246676,NW,108,,,N,Y,1000,540,1000,540,강동구 암사동 139-2,,127.1303425,37.5591723
2026-05-30T07:40:05.556680+09:00,노들섬,노들섬,POI092,KEY_4,노들섬 주차장,3204515,BS,99,,,N,Y,1000,30,300,10,용산구 이촌동 302-146,,126.957417,37.517689
2026-05-30T07:40:05.556680+09:00,보라매공원,보라매공원,POI123,KEY_4,보라매공원 정문주차장,3246367,BS,78,,,N,Y,130,5,130,5,동작구 신대방동 722-0,,126.9188806,37.494927
2026-05-30T07:40:05.556680+09:00,안양천,안양천,POI125,KEY_4,신정교주차장(구),1588371,NW,294,,,N,N,0,0,0,0,양천구 신정동 871-3,,126.8779641,37.5171996
2026-05-30T07:40:05.556680+09:00,잠실종합운동장,잠실종합운동장,POI109,KEY_1,잠실종합운동장 부설주차장,672169,BP,876,,,N,Y,0,15,200,5,송파구 잠실동 10-0,,127.07361195,37.51645099
2026-05-30T07:40:05.556680+09:00,신도림역,신도림역,POI038,KEY_3,신도림 디큐브시티,3121188,BS,1644,,,N,Y,1000,30,1000,10,구로구 신도림동 692-0,,126.888938,37.508607
2026-05-30T08:38:00.904457+09:00,서울 암사동 유적,서울 암사동 유적,POI011,KEY_4,서울암사동유적 주차장(구),3246676,NW,108,,,N,Y,1000,540,1000,540,강동구 암사동 139-2,,127.1303425,37.5591723
2026-05-30T08:38:00.904457+09:00,노들섬,노들섬,POI092,KEY_4,노들섬 주차장,3204515,BS,99,,,N,Y,1000,30,300,10,용산구 이촌동 302-146,,126.957417,37.517689
2026-05-30T08:38:00.904457+09:00,보라매공원,보라매공원,POI123,KEY_4,보라매공원 정문주차장,3246367,BS,78,,,N,Y,130,5,130,5,동작구 신대방동 722-0,,126.9188806,37.494927
2026-05-30T08:38:00.904457+09:00,안양천,안양천,POI125,KEY_4,신정교주차장(구),1588371,NW,294,,,N,N,0,0,0,0,양천구 신정동 871-3,,126.8779641,37.5171996
2026-05-30T08:38:00.904457+09:00,잠실종합운동장,잠실종합운동장,POI109,KEY_1,잠실종합운동장 부설주차장,672169,BP,876,,,N,Y,0,15,200,5,송파구 잠실동 10-0,,127.07361195,37.51645099
2026-05-30T08:38:00.904457+09:00,신도림역,신도림역,POI038,KEY_3,신도림 디큐브시티,3121188,BS,1644,,,N,Y,1000,30,1000,10,구로구 신도림동 692-0,,126.888938,37.508607
2026-05-30T10:14:01.604412+09:00,서울 암사동 유적,서울 암사동 유적,POI011,KEY_4,서울암사동유적 주차장(구),3246676,NW,108,,,N,Y,1000,540,1000,540,강동구 암사동 139-2,,127.1303425,37.5591723
2026-05-30T10:14:01.604412+09:00,노들섬,노들섬,POI092,KEY_4,노들섬 주차장,3204515,BS,99,,,N,Y,1000,30,300,10,용산구 이촌동 302-146,,126.957417,37.517689
2026-05-30T10:14:01.604412+09:00,보라매공원,보라매공원,POI123,KEY_4,보라매공원 정문주차장,3246367,BS,78,,,N,Y,130,5,130,5,동작구 신대방동 722-0,,126.9188806,37.494927
2026-05-30T10:14:01.604412+09:00,안양천,안양천,POI125,KEY_4,신정교주차장(구),1588371,NW,294,,,N,N,0,0,0,0,양천구 신정동 871-3,,126.8779641,37.5171996
2026-05-30T10:14:01.604412+09:00,잠실종합운동장,잠실종합운동장,POI109,KEY_1,잠실종합운동장 부설주차장,672169,BP,876,,,N,Y,0,15,200,5,송파구 잠실동 10-0,,127.07361195,37.51645099
2026-05-30T10:14:01.604412+09:00,신도림역,신도림역,POI038,KEY_3,신도림 디큐브시티,3121188,BS,1644,,,N,Y,1000,30,1000,10,구로구 신도림동 692-0,,126.888938,37.508607
2026-05-30T12:20:07.145819+09:00,서울 암사동 유적,서울 암사동 유적,POI011,KEY_4,서울암사동유적 주차장(구),3246676,NW,108,,,N,Y,1000,540,1000,540,강동구 암사동 139-2,,127.1303425,37.5591723
2026-05-30T12:20:07.145819+09:00,노들섬,노들섬,POI092,KEY_4,노들섬 주차장,3204515,BS,99,,,N,Y,1000,30,300,10,용산구 이촌동 302-146,,126.957417,37.517689
2026-05-30T12:20:07.145819+09:00,보라매공원,보라매공원,POI123,KEY_4,보라매공원 정문주차장,3246367,BS,78,,,N,Y,130,5,130,5,동작구 신대방동 722-0,,126.9188806,37.494927
2026-05-30T12:20:07.145819+09:00,안양천,안양천,POI125,KEY_4,신정교주차장(구),1588371,NW,294,,,N,N,0,0,0,0,양천구 신정동 871-3,,126.8779641,37.5171996
2026-05-30T12:20:07.145819+09:00,잠실종합운동장,잠실종합운동장,POI109,KEY_1,잠실종합운동장 부설주차장,672169,BP,876,,,N,Y,0,15,200,5,송파구 잠실동 10-0,,127.07361195,37.51645099
2026-05-30T12:20:07.145819+09:00,신도림역,신도림역,POI038,KEY_3,신도림 디큐브시티,3121188,BS,1644,,,N,Y,1000,30,1000,10,구로구 신도림동 692-0,,126.888938,37.508607
2026-05-30T14:27:38.452526+09:00,서울 암사동 유적,서울 암사동 유적,POI011,KEY_4,서울암사동유적 주차장(구),3246676,NW,108,,,N,Y,1000,540,1000,540,강동구 암사동 139-2,,127.1303425,37.5591723
2026-05-30T14:27:38.452526+09:00,노들섬,노들섬,POI092,KEY_4,노들섬 주차장,3204515,BS,99,,,N,Y,1000,30,300,10,용산구 이촌동 302-146,,126.957417,37.517689
2026-05-30T14:27:38.452526+09:00,보라매공원,보라매공원,POI123,KEY_4,보라매공원 정문주차장,3246367,BS,78,,,N,Y,130,5,130,5,동작구 신대방동 722-0,,126.9188806,37.494927
2026-05-30T14:27:38.452526+09:00,안양천,안양천,POI125,KEY_4,신정교주차장(구),1588371,NW,294,,,N,N,0,0,0,0,양천구 신정동 871-3,,126.8779641,37.5171996
2026-05-30T14:27:38.452526+09:00,잠실종합운동장,잠실종합운동장,POI109,KEY_1,잠실종합운동장 부설주차장,672169,BP,876,,,N,Y,0,15,200,5,송파구 잠실동 10-0,,127.07361195,37.51645099
2026-05-30T14:27:38.452526+09:00,신도림역,신도림역,POI038,KEY_3,신도림 디큐브시티,3121188,BS,1644,,,N,Y,1000,30,1000,10,구로구 신도림동 692-0,,126.888938,37.508607
2026-05-30T16:16:28.092425+09:00,서울 암사동 유적,서울 암사동 유적,POI011,KEY_4,서울암사동유적 주차장(구),3246676,NW,108,,,N,Y,1000,540,1000,540,강동구 암사동 139-2,,127.1303425,37.5591723
2026-05-30T16:16:28.092425+09:00,노들섬,노들섬,POI092,KEY_4,노들섬 주차장,3204515,BS,99,,,N,Y,1000,30,300,10,용산구 이촌동 302-146,,126.957417,37.517689
2026-05-30T16:16:28.092425+09:00,보라매공원,보라매공원,POI123,KEY_4,보라매공원 정문주차장,3246367,BS,78,,,N,Y,130,5,130,5,동작구 신대방동 722-0,,126.9188806,37.494927
2026-05-30T16:16:28.092425+09:00,안양천,안양천,POI125,KEY_4,신정교주차장(구),1588371,NW,294,,,N,N,0,0,0,0,양천구 신정동 871-3,,126.8779641,37.5171996
2026-05-30T16:16:28.092425+09:00,잠실종합운동장,잠실종합운동장,POI109,KEY_1,잠실종합운동장 부설주차장,672169,BP,876,,,N,Y,0,15,200,5,송파구 잠실동 10-0,,127.07361195,37.51645099
2026-05-30T16:16:28.092425+09:00,신도림역,신도림역,POI038,KEY_3,신도림 디큐브시티,3121188,BS,1644,,,N,Y,1000,30,1000,10,구로구 신도림동 692-0,,126.888938,37.508607
2026-05-30T17:59:44.839872+09:00,서울 암사동 유적,서울 암사동 유적,POI011,KEY_4,서울암사동유적 주차장(구),3246676,NW,108,,,N,Y,1000,540,1000,540,강동구 암사동 139-2,,127.1303425,37.5591723
2026-05-30T17:59:44.839872+09:00,노들섬,노들섬,POI092,KEY_4,노들섬 주차장,3204515,BS,99,,,N,Y,1000,30,300,10,용산구 이촌동 302-146,,126.957417,37.517689
2026-05-30T17:59:44.839872+09:00,보라매공원,보라매공원,POI123,KEY_4,보라매공원 정문주차장,3246367,BS,78,,,N,Y,130,5,130,5,동작구 신대방동 722-0,,126.9188806,37.494927
2026-05-30T17:59:44.839872+09:00,안양천,안양천,POI125,KEY_4,신정교주차장(구),1588371,NW,294,,,N,N,0,0,0,0,양천구 신정동 871-3,,126.8779641,37.5171996
2026-05-30T17:59:44.839872+09:00,잠실종합운동장,잠실종합운동장,POI109,KEY_1,잠실종합운동장 부설주차장,672169,BP,876,,,N,Y,0,15,200,5,송파구 잠실동 10-0,,127.07361195,37.51645099
2026-05-30T17:59:44.839872+09:00,신도림역,신도림역,POI038,KEY_3,신도림 디큐브시티,3121188,BS,1644,,,N,Y,1000,30,1000,10,구로구 신도림동 692-0,,126.888938,37.508607
2026-05-30T18:45:55.160980+09:00,서울 암사동 유적,서울 암사동 유적,POI011,KEY_4,서울암사동유적 주차장(구),3246676,NW,108,,,N,Y,1000,540,1000,540,강동구 암사동 139-2,,127.1303425,37.5591723
2026-05-30T18:45:55.160980+09:00,노들섬,노들섬,POI092,KEY_4,노들섬 주차장,3204515,BS,99,,,N,Y,1000,30,300,10,용산구 이촌동 302-146,,126.957417,37.517689
2026-05-30T18:45:55.160980+09:00,보라매공원,보라매공원,POI123,KEY_4,보라매공원 정문주차장,3246367,BS,78,,,N,Y,130,5,130,5,동작구 신대방동 722-0,,126.9188806,37.494927
2026-05-30T18:45:55.160980+09:00,안양천,안양천,POI125,KEY_4,신정교주차장(구),1588371,NW,294,,,N,N,0,0,0,0,양천구 신정동 871-3,,126.8779641,37.5171996
2026-05-30T18:45:55.160980+09:00,잠실종합운동장,잠실종합운동장,POI109,KEY_1,잠실종합운동장 부설주차장,672169,BP,876,,,N,Y,0,15,200,5,송파구 잠실동 10-0,,127.07361195,37.51645099
2026-05-30T18:45:55.160980+09:00,신도림역,신도림역,POI038,KEY_3,신도림 디큐브시티,3121188,BS,1644,,,N,Y,1000,30,1000,10,구로구 신도림동 692-0,,126.888938,37.508607
2026-05-30T19:43:00.625507+09:00,서울 암사동 유적,서울 암사동 유적,POI011,KEY_4,서울암사동유적 주차장(구),3246676,NW,108,,,N,Y,1000,540,1000,540,강동구 암사동 139-2,,127.1303425,37.5591723
2026-05-30T19:43:00.625507+09:00,노들섬,노들섬,POI092,KEY_4,노들섬 주차장,3204515,BS,99,,,N,Y,1000,30,300,10,용산구 이촌동 302-146,,126.957417,37.517689
2026-05-30T19:43:00.625507+09:00,보라매공원,보라매공원,POI123,KEY_4,보라매공원 정문주차장,3246367,BS,78,,,N,Y,130,5,130,5,동작구 신대방동 722-0,,126.9188806,37.494927
2026-05-30T19:43:00.625507+09:00,안양천,안양천,POI125,KEY_4,신정교주차장(구),1588371,NW,294,,,N,N,0,0,0,0,양천구 신정동 871-3,,126.8779641,37.5171996
2026-05-30T19:43:00.625507+09:00,잠실종합운동장,잠실종합운동장,POI109,KEY_1,잠실종합운동장 부설주차장,672169,BP,876,,,N,Y,0,15,200,5,송파구 잠실동 10-0,,127.07361195,37.51645099
2026-05-30T19:43:00.625507+09:00,신도림역,신도림역,POI038,KEY_3,신도림 디큐브시티,3121188,BS,1644,,,N,Y,1000,30,1000,10,구로구 신도림동 692-0,,126.888938,37.508607
2026-05-30T20:39:01.306643+09:00,서울 암사동 유적,서울 암사동 유적,POI011,KEY_4,서울암사동유적 주차장(구),3246676,NW,108,,,N,Y,1000,540,1000,540,강동구 암사동 139-2,,127.1303425,37.5591723
2026-05-30T20:39:01.306643+09:00,노들섬,노들섬,POI092,KEY_4,노들섬 주차장,3204515,BS,99,,,N,Y,1000,30,300,10,용산구 이촌동 302-146,,126.957417,37.517689
2026-05-30T20:39:01.306643+09:00,보라매공원,보라매공원,POI123,KEY_4,보라매공원 정문주차장,3246367,BS,78,,,N,Y,130,5,130,5,동작구 신대방동 722-0,,126.9188806,37.494927
2026-05-30T20:39:01.306643+09:00,안양천,안양천,POI125,KEY_4,신정교주차장(구),1588371,NW,294,,,N,N,0,0,0,0,양천구 신정동 871-3,,126.8779641,37.5171996
2026-05-30T20:39:01.306643+09:00,잠실종합운동장,잠실종합운동장,POI109,KEY_1,잠실종합운동장 부설주차장,672169,BP,876,,,N,Y,0,15,200,5,송파구 잠실동 10-0,,127.07361195,37.51645099
2026-05-30T20:39:01.306643+09:00,신도림역,신도림역,POI038,KEY_3,신도림 디큐브시티,3121188,BS,1644,,,N,Y,1000,30,1000,10,구로구 신도림동 692-0,,126.888938,37.508607
2026-05-30T21:40:29.126665+09:00,서울 암사동 유적,서울 암사동 유적,POI011,KEY_4,서울암사동유적 주차장(구),3246676,NW,108,,,N,Y,1000,540,1000,540,강동구 암사동 139-2,,127.1303425,37.5591723
2026-05-30T21:40:29.126665+09:00,노들섬,노들섬,POI092,KEY_4,노들섬 주차장,3204515,BS,99,,,N,Y,1000,30,300,10,용산구 이촌동 302-146,,126.957417,37.517689
2026-05-30T21:40:29.126665+09:00,보라매공원,보라매공원,POI123,KEY_4,보라매공원 정문주차장,3246367,BS,78,,,N,Y,130,5,130,5,동작구 신대방동 722-0,,126.9188806,37.494927
2026-05-30T21:40:29.126665+09:00,안양천,안양천,POI125,KEY_4,신정교주차장(구),1588371,NW,294,,,N,N,0,0,0,0,양천구 신정동 871-3,,126.8779641,37.5171996
2026-05-30T21:40:29.126665+09:00,잠실종합운동장,잠실종합운동장,POI109,KEY_1,잠실종합운동장 부설주차장,672169,BP,876,,,N,Y,0,15,200,5,송파구 잠실동 10-0,,127.07361195,37.51645099
2026-05-30T21:40:29.126665+09:00,신도림역,신도림역,POI038,KEY_3,신도림 디큐브시티,3121188,BS,1644,,,N,Y,1000,30,1000,10,구로구 신도림동 692-0,,126.888938,37.508607
