fetched_at,place_name,AREA_NM,AREA_CD,_key_used,BUS_STN_STTS__BUS_RESULT_MSG,BUS_STN_STTS__BUS_STN_ID,BUS_STN_STTS__BUS_ARS_ID,BUS_STN_STTS__BUS_STN_NM,BUS_STN_STTS__BUS_STN_X,BUS_STN_STTS__BUS_STN_Y
2026-06-19T00:17:00.890880+09:00,뚝섬한강공원,뚝섬한강공원,POI093,KEY_1,정상 호출되었습니다.,104000300,5900,뚝섬유원지,127.0668303967,37.5311823597
2026-06-19T00:17:00.890880+09:00,안양천,안양천,POI125,KEY_4,정상 호출되었습니다.,114000074,15177,현대아파트정문,126.8782362614,37.5207879158
2026-06-19T00:17:00.890880+09:00,신도림역,신도림역,POI038,KEY_3,정상 호출되었습니다.,116000002,17002,신도림역,126.8884638807,37.509108047
2026-06-19T02:16:14.262040+09:00,뚝섬한강공원,뚝섬한강공원,POI093,KEY_1,정상 호출되었습니다.,104000300,5900,뚝섬유원지,127.0668303967,37.5311823597
2026-06-19T02:16:14.262040+09:00,안양천,안양천,POI125,KEY_4,정상 호출되었습니다.,114000074,15177,현대아파트정문,126.8782362614,37.5207879158
2026-06-19T02:16:14.262040+09:00,신도림역,신도림역,POI038,KEY_3,정상 호출되었습니다.,116000002,17002,신도림역,126.8884638807,37.509108047
2026-06-19T04:02:43.397650+09:00,뚝섬한강공원,뚝섬한강공원,POI093,KEY_1,정상 호출되었습니다.,104000300,5900,뚝섬유원지,127.0668303967,37.5311823597
2026-06-19T04:02:43.397650+09:00,안양천,안양천,POI125,KEY_4,정상 호출되었습니다.,114000074,15177,현대아파트정문,126.8782362614,37.5207879158
2026-06-19T04:02:43.397650+09:00,신도림역,신도림역,POI038,KEY_3,정상 호출되었습니다.,116000002,17002,신도림역,126.8884638807,37.509108047
2026-06-19T04:53:34.026278+09:00,뚝섬한강공원,뚝섬한강공원,POI093,KEY_1,정상 호출되었습니다.,104000300,5900,뚝섬유원지,127.0668303967,37.5311823597
2026-06-19T04:53:34.026278+09:00,안양천,안양천,POI125,KEY_4,정상 호출되었습니다.,114000074,15177,현대아파트정문,126.8782362614,37.5207879158
2026-06-19T04:53:34.026278+09:00,신도림역,신도림역,POI038,KEY_3,정상 호출되었습니다.,116000002,17002,신도림역,126.8884638807,37.509108047
2026-06-19T06:02:03.214680+09:00,뚝섬한강공원,뚝섬한강공원,POI093,KEY_1,정상 호출되었습니다.,104000300,5900,뚝섬유원지,127.0668303967,37.5311823597
2026-06-19T06:02:03.214680+09:00,안양천,안양천,POI125,KEY_4,정상 호출되었습니다.,114000074,15177,현대아파트정문,126.8782362614,37.5207879158
2026-06-19T06:02:03.214680+09:00,신도림역,신도림역,POI038,KEY_3,정상 호출되었습니다.,116000002,17002,신도림역,126.8884638807,37.509108047
