fetched_at,place_name,AREA_NM,AREA_CD,_key_used,WEATHER_STTS__WEATHER_TIME,WEATHER_STTS__TEMP,WEATHER_STTS__MAX_TEMP,WEATHER_STTS__MIN_TEMP,WEATHER_STTS__HUMIDITY,WEATHER_STTS__WIND_DIRCT,WEATHER_STTS__WIND_SPD,WEATHER_STTS__PRECIPITATION,WEATHER_STTS__PRECPT_TYPE,WEATHER_STTS__PCP_MSG,WEATHER_STTS__SUNRISE,WEATHER_STTS__SUNSET,WEATHER_STTS__UV_INDEX_LVL,WEATHER_STTS__UV_INDEX,WEATHER_STTS__UV_MSG,WEATHER_STTS__PM25_INDEX,WEATHER_STTS__PM25,WEATHER_STTS__PM10_INDEX,WEATHER_STTS__PM10,WEATHER_STTS__AIR_IDX,WEATHER_STTS__AIR_IDX_MVL,WEATHER_STTS__AIR_IDX_MAIN,WEATHER_STTS__AIR_MSG,WEATHER_STTS__NEWS_LIST
2026-08-12T00:11:35.386779+09:00,경복궁,경복궁,POI008,KEY_1,2026-08-12 00:10,24.5,32.0,22.0,62,NNE,5.0,-,없음,비 또는 눈 소식이 없어요.,05:43,19:31,낮음,1,햇볕에 민감한 분들은 자외선 차단제를 발라주세요.,좋음,3,좋음,6,좋음,50.0,,대기질에 이상이 없어요.,
2026-08-12T00:11:35.386779+09:00,광화문·덕수궁,광화문·덕수궁,POI009,KEY_2,2026-08-12 00:10,24.5,32.0,22.0,62,NNE,5.0,-,없음,비 또는 눈 소식이 없어요.,05:43,19:31,낮음,1,햇볕에 민감한 분들은 자외선 차단제를 발라주세요.,좋음,3,좋음,6,좋음,50.0,,대기질에 이상이 없어요.,
2026-08-12T00:11:35.386779+09:00,보신각,보신각,POI010,KEY_3,2026-08-12 00:10,24.5,32.0,22.0,62,NNE,5.0,-,없음,비 또는 눈 소식이 없어요.,05:43,19:31,낮음,1,햇볕에 민감한 분들은 자외선 차단제를 발라주세요.,좋음,3,좋음,6,좋음,50.0,,대기질에 이상이 없어요.,
2026-08-12T00:11:35.386779+09:00,서울 암사동 유적,서울 암사동 유적,POI011,KEY_4,2026-08-12 00:10,24.1,32.0,21.0,58,NE,2.7,-,없음,비 또는 눈 소식이 없어요.,05:43,19:31,낮음,1,햇볕에 민감한 분들은 자외선 차단제를 발라주세요.,좋음,3,좋음,10,좋음,50.0,,대기질에 이상이 없어요.,
2026-08-12T00:11:35.386779+09:00,창덕궁·종묘,창덕궁·종묘,POI012,KEY_1,2026-08-12 00:10,24.5,32.0,22.0,62,NNE,5.0,-,없음,비 또는 눈 소식이 없어요.,05:43,19:31,낮음,1,햇볕에 민감한 분들은 자외선 차단제를 발라주세요.,좋음,3,좋음,6,좋음,50.0,,대기질에 이상이 없어요.,
2026-08-12T00:11:35.386779+09:00,강남 MICE 관광특구,강남 MICE 관광특구,POI001,KEY_2,2026-08-12 00:10,24.9,32.0,22.0,52,ENE,2.4,-,없음,비 또는 눈 소식이 없어요.,05:43,19:31,낮음,1,햇볕에 민감한 분들은 자외선 차단제를 발라주세요.,좋음,3,좋음,5,좋음,48.0,,대기질에 이상이 없어요.,
2026-08-12T00:11:35.386779+09:00,동대문 관광특구,동대문 관광특구,POI002,KEY_3,2026-08-12 00:10,24.5,32.0,22.0,62,NNE,5.0,-,없음,비 또는 눈 소식이 없어요.,05:43,19:31,낮음,1,햇볕에 민감한 분들은 자외선 차단제를 발라주세요.,좋음,3,좋음,6,좋음,50.0,,대기질에 이상이 없어요.,
2026-08-12T00:11:35.386779+09:00,명동 관광특구,명동 관광특구,POI003,KEY_4,2026-08-12 00:10,24.5,32.0,22.0,62,NNE,5.0,-,없음,비 또는 눈 소식이 없어요.,05:43,19:31,낮음,1,햇볕에 민감한 분들은 자외선 차단제를 발라주세요.,좋음,6,좋음,9,좋음,48.0,,대기질에 이상이 없어요.,
2026-08-12T00:11:35.386779+09:00,이태원 관광특구,이태원 관광특구,POI004,KEY_1,2026-08-12 00:10,24.7,32.0,22.0,58,NE,3.7,-,없음,비 또는 눈 소식이 없어요.,05:43,19:31,낮음,1,햇볕에 민감한 분들은 자외선 차단제를 발라주세요.,좋음,4,좋음,8,좋음,47.0,,대기질에 이상이 없어요.,
2026-08-12T00:11:35.386779+09:00,잠실 관광특구,잠실 관광특구,POI005,KEY_2,2026-08-12 00:10,25.2,32.0,22.0,56,NE,1.9,-,없음,비 또는 눈 소식이 없어요.,05:43,19:31,낮음,1,햇볕에 민감한 분들은 자외선 차단제를 발라주세요.,좋음,8,좋음,10,좋음,46.0,,대기질에 이상이 없어요.,
