fetched_at,place_name,AREA_NM,AREA_CD,_key_used,WEATHER_STTS__WEATHER_TIME,WEATHER_STTS__TEMP,WEATHER_STTS__MAX_TEMP,WEATHER_STTS__MIN_TEMP,WEATHER_STTS__HUMIDITY,WEATHER_STTS__WIND_DIRCT,WEATHER_STTS__WIND_SPD,WEATHER_STTS__PRECIPITATION,WEATHER_STTS__PRECPT_TYPE,WEATHER_STTS__PCP_MSG,WEATHER_STTS__SUNRISE,WEATHER_STTS__SUNSET,WEATHER_STTS__UV_INDEX_LVL,WEATHER_STTS__UV_INDEX,WEATHER_STTS__UV_MSG,WEATHER_STTS__PM25_INDEX,WEATHER_STTS__PM25,WEATHER_STTS__PM10_INDEX,WEATHER_STTS__PM10,WEATHER_STTS__AIR_IDX,WEATHER_STTS__AIR_IDX_MVL,WEATHER_STTS__AIR_IDX_MAIN,WEATHER_STTS__AIR_MSG,WEATHER_STTS__NEWS_LIST
2026-07-26T00:15:11.222213+09:00,경복궁,경복궁,POI008,KEY_1,2026-07-26 00:11,27.6,33.0,26.0,80,ESE,1.2,-,없음,비 또는 눈 소식이 없어요.,05:30,19:47,0,낮음,햇볕에 민감한 분들은 자외선 차단제를 발라주세요.,좋음,11,좋음,21,좋음,40.0,,대기질에 이상이 없어요.,
2026-07-26T00:15:11.222213+09:00,광화문·덕수궁,광화문·덕수궁,POI009,KEY_2,2026-07-26 00:11,27.6,33.0,26.0,80,ESE,1.2,-,없음,비 또는 눈 소식이 없어요.,05:30,19:47,0,낮음,햇볕에 민감한 분들은 자외선 차단제를 발라주세요.,좋음,11,좋음,21,좋음,40.0,,대기질에 이상이 없어요.,
2026-07-26T00:15:11.222213+09:00,보신각,보신각,POI010,KEY_3,2026-07-26 00:11,27.6,33.0,26.0,80,ESE,1.2,-,없음,비 또는 눈 소식이 없어요.,05:30,19:47,0,낮음,햇볕에 민감한 분들은 자외선 차단제를 발라주세요.,좋음,11,좋음,21,좋음,40.0,,대기질에 이상이 없어요.,
2026-07-26T00:15:11.222213+09:00,서울 암사동 유적,서울 암사동 유적,POI011,KEY_4,2026-07-26 00:11,27.7,31.0,25.0,79,S,0.5,-,없음,비 또는 눈 소식이 없어요.,05:30,19:47,0,낮음,햇볕에 민감한 분들은 자외선 차단제를 발라주세요.,좋음,8,좋음,14,좋음,39.0,,대기질에 이상이 없어요.,
2026-07-26T00:15:11.222213+09:00,창덕궁·종묘,창덕궁·종묘,POI012,KEY_1,2026-07-26 00:11,27.6,33.0,26.0,80,ESE,1.2,-,없음,비 또는 눈 소식이 없어요.,05:30,19:47,0,낮음,햇볕에 민감한 분들은 자외선 차단제를 발라주세요.,좋음,11,좋음,21,좋음,40.0,,대기질에 이상이 없어요.,
2026-07-26T00:15:11.222213+09:00,강남 MICE 관광특구,강남 MICE 관광특구,POI001,KEY_2,2026-07-26 00:11,26.7,32.0,26.0,86,E,0.5,-,없음,비 또는 눈 소식이 없어요.,05:30,19:47,0,낮음,햇볕에 민감한 분들은 자외선 차단제를 발라주세요.,좋음,8,좋음,19,좋음,33.0,,대기질에 이상이 없어요.,
2026-07-26T00:15:11.222213+09:00,동대문 관광특구,동대문 관광특구,POI002,KEY_3,2026-07-26 00:11,27.6,33.0,26.0,80,ESE,1.2,-,없음,비 또는 눈 소식이 없어요.,05:30,19:47,0,낮음,햇볕에 민감한 분들은 자외선 차단제를 발라주세요.,좋음,11,좋음,21,좋음,40.0,,대기질에 이상이 없어요.,
2026-07-26T00:15:11.222213+09:00,명동 관광특구,명동 관광특구,POI003,KEY_4,2026-07-26 00:11,27.6,33.0,26.0,80,ESE,1.2,-,없음,비 또는 눈 소식이 없어요.,05:30,19:47,0,낮음,햇볕에 민감한 분들은 자외선 차단제를 발라주세요.,좋음,13,좋음,18,좋음,47.0,,대기질에 이상이 없어요.,
2026-07-26T00:15:11.222213+09:00,이태원 관광특구,이태원 관광특구,POI004,KEY_1,2026-07-26 00:11,27.2,32.0,26.0,84,ESE,1.3,-,없음,비 또는 눈 소식이 없어요.,05:30,19:47,0,낮음,햇볕에 민감한 분들은 자외선 차단제를 발라주세요.,좋음,12,좋음,21,좋음,40.0,,대기질에 이상이 없어요.,
2026-07-26T00:15:11.222213+09:00,잠실 관광특구,잠실 관광특구,POI005,KEY_2,2026-07-26 00:11,28.5,32.0,26.0,79,SE,0.8,-,없음,비 또는 눈 소식이 없어요.,05:30,19:47,0,낮음,햇볕에 민감한 분들은 자외선 차단제를 발라주세요.,좋음,10,좋음,19,좋음,33.0,,대기질에 이상이 없어요.,
